text,label
"The summer has been so full of Blockbusters and comebacks of films, and not to mention some of the disappointments of those comebacks, that I was woe to find a film I could just sit down and enjoy. <br /><br />In case you don't want to read further down the page (there aren't any spoilers), I'll sum it up here: It's more mature than Ella Enchanted (there are some questionably violent parts, plenty of death, and a handful of scenes with a little blood, not for small children), but doesn't try to be overly corny or overstep its bounds. Think of it as a bit more serious, bit more magical Princess Bride, and you'll be close. <br /><br />-------------------------------------------------------------<br /><br />I am, perhaps, not as prodigious a movie goer as others... Maybe once or twice a month, if I feel active. I'm also a huge Sci-Fi/Fantasy fan. I get bored of remade repetitive story lines and films with more flash than filling faster than you can count to 10, and this film is the diamond in the rough.<br /><br />By the end here (August), I was tired enough of fractured expectations from the big hits that I averted seeing Bourne Ultimatum in favor of Stardust. Having had my hopes thoroughly muddied by Transformers for my Fiction addiction, the previews of Stardust seemed appealing, but I was certainly wary.<br /><br />As many others here, I was utterly surprised. I had gone in thinking to see another generic fantasy movie clichéd from here to breakfast. Don't be fooled, it is most definitely a fairy-tale, and it does indeed have witches, magic, and utterly requires suspension of disbelief... But the most refreshing thing I found, is that it's NOT based on anything I've seen or read in the past 15 years, and it's actually a really good movie.<br /><br />((Unlike 90% of the other movies which seem to persistently re-appear like thorns in a side, perhaps a sign that Hollywood is running out of ideas? I could read a book this year, and in two years the movie would be out as another ""Epic fantasy tale, the likes of LotR and the rest"" so says the NYT and such and such no doubt.))<br /><br />Stardust didn't have me bolted to my seat because of jam-packed action at every turn, nor was I sweating bullets because of plot-hook after plot-hook threatening to tear the dramatic tension apart and echo throughout the theater in a loud boom. It didn't even use enormous blasts of sound to grab my attention to what's happening on screen (Transformers, I'm looking at you). It's not trying to show off the latest CGI techniques, nor did it offend my intelligence with dimwitted dialogs and story lines that are simple enough I could've figured them out in 3rd grade (boy I hate those). <br /><br />I just... watched. Watched, and enjoyed a refreshingly CREATIVE storyline unfold before my eyes. Sure, I may have known what was going to happen throughout most of the film, but it makes you forget that. It even made my heart twinge at some parts, but the most important aspect I noticed is that I left the theater feeling better than when I'd gone in.<br /><br />It truly is a gem. After so much slush this summer with so many remakes and films that fell short of my expectations, this was like a cold sweet cup of tea to cap off all the hard work I'd done sitting through the others trying to come out of them with my money's worth.<br /><br />It's probably not for everyone, but do yourself a favor; If you enjoy fantasy films that stand the test of time alone (Princess Bride, Black Cauldron, The Dark Crystal, etc.) then you should really see this movie. This little diamond is finding its way into my DVD collection the moment it hits stores, you can trust me on this.<br /><br />Simply wonderful.",1
"I watched this movie on LOGO television today. I was absolutely enthralled by the powerful messages and plot line within this film. I don't want to spoil it. I will say this, I related to the inner struggle of Aaron and his upbringing. As a gay man growing up in a small town, I related SO well to the ""big secret"" and the choices I made. This movie has made a HUGE impact on me and I plan on buying a copy of it in the very near future for my personal library. I no more than finished the movie and began calling my friends to recommend it. It had that profound of an effect on me. To those who read this comment. WATCH it. Try to have as little distraction as possible. Also,keep an open mind. This is not a film that can be viewed like a Disney film or the movie of the week. Instead, take the time to watch and actively LISTEN to the dialog as well as read between the lines and get involved in the plot. You may find yourself in tears. Not since ""Steel Magnolias"" have I been moved to tears by a film. This one did just that. Thank you to the cast and writer and crew for producing an emotionally charged romantic film about homosexuality and religion. It has been LONG overdue.",1
"Cam Archer's lyrical Bobbycrush boldly captures the disorienting kaleidoscope that is adolescent desire with a lush rendering (beautifully photographed by Aaron Platt) that is more vibe than narrative. Caught somewhere between documentary and dream, Bobbycrush recalls the inventiveness of early Todd Haynes and the vivid hyperrealism of Gus van Sant. With grit, glamour and heartbreak, it's kinda like the movie equivalent of Sonic Youth playing bubblegum pop.",1
"What can you say after watching this movie? That is, if you had the interest and concentration to see it to the end. I was left speechless, due to the amazingly dull story, annoying situations where one American equals that of a fifty or more Iraqis, and boring dialogue. I think that if this movie has something to teach, it probably goes like ""Don't screw with US, or we'll come and kick your butts"". Plus, this film truly encourages and votes for killing masses of foreigners, in the name of war. I got the image of tackling chess pieces out of the playing board. Except, now it's fast and there's not so much thinking. And on top of that.. no character there has any spirit; then, how can you care at all what happens to any of them. Excluding war movie fans with no taste, I wouldn't recommend this to anyone. There should always be something more interesting to do.",0
"I don't know what this movie is about, really. It's like a student's art school project. They never say why the world is dark, but it is always darkness except for seconds a day. There are long, interrupting shots of insects of all sorts for no reason. What little dialogue there is in the movie is as inane and nonsensical as the images. A black woman enters the main character's apartment. Somehow she becomes pregnant overnight, then gets shot in the head. The main character takes care of the body until it becomes a cocoon after which a white naked woman emerges. I have never been so blown away by how bad and pointless a movie can be. Honestly, I would like someone to watch it so they can tell me what they think it's about. But I wouldn't wish this level of hell on anybody else.",0
"This is my favorite game for the Nintendo 64 platform. I've played many different first-person shooters, and I've never really liked any of them much, but this game has a certain something that I can't put my finger on that makes it an amazing amount of fun. Maybe it's the extraordinary detail put into the game. Maybe it's the fluid movement of the characters. Maybe it's the gadgets and weapons. Maybe it's the suave character of James Bond. Whatever it is, this game never seems to get old no matter how many times I've played it.",1
"In New York, when the shy and lonely project manager of a design firm Matt Saunders (Luke Wilson) meets Jenny Johnson (Uma Thurman) in the subway, he invites her to date and have dinner with him. Jenny immediately falls in love for him, they have sex and she discloses her true identity to him, telling that she is the powerful superhero G-Girl. After meeting his co-worker and friend Hannah Lewis (Anna Faris), the needy Jenny becomes jealous, controlling and manipulative, and Matt follows the advice of his best friend Vaughn Haige (Rainn Wilson) and dumps her, breaking her heart. Jenny turns Matt's life into hell, while he has a romance with Hannah. However, the archenemy of G-Girl and former high school sweetheart of Jenny, Professor Bedlam (Eddie Izzard), proposes Matt to lure Jenny to strip her superpowers.<br /><br />""My Super Ex-Girlfriend"" is delightfully silly and funny. This romantic comedy-adventure has many hilarious moments and is very entertaining. Luke Wilson is great in the role of an idiot, Anna Farris is extremely sexy as usual, and Uma Thurman is great in the role of a deranged neurotic superhero that recalls Glenn Close in ""Fatal Attraction"" or Evelyn Draper in ""Play Misty For Me"". My vote is seven.<br /><br />Title (Brazil): ""Minha Super Ex-Namorada"" (""My Super Ex-Girlfriend"")",1
"What is happening to ITV Drama. First, ""Losing Gemma"" quite simply the worst TV drama I have seen in years, and now ""Perfect Parents"" a complete shambles from start to finish. Whoever is responsible for commissioning this drivel should be receiving there P45 by special delivery.<br /><br />In most Drama/Thrillers, a requirement to suspend certain levels of belief is necessary so that the the plot line can develop, but ""Perfect Parents"" took this to a new level,I suspended so much belief by the end of this nonsense I felt I had been force fed on a lorry load of ""Magic mushrooms"", it was like the scriptwriters had decided to try and create a ""Drama by numbers"" involving some serious issues - Religion, Education,Greed,Fear,Murder,Paedophillia the only trouble was as The great Eric Morecambe once said when playing a piano, ""I'm playing all the right Notes, just not necessarily in the correct order"". For your next Script guys, I suggest you try reading a few more books on script development than ""Script writing For Dummies"".<br /><br />Due to the ridiculous Script and the utter lack of Tension in the Direction, the acting was suitably low key, not the fault of the actors as the cast was top notch. But I suggest that all of the actors involved in this sorry piece of drama should instruct their agents the next time the Postman attempts to deliver a script from ITV drama Department, make sure the letterbox is firmly nailed shut!!",0
"Don't hate Heather Graham because she's beautiful, hate her because she's fun to watch in this movie. Like the hip clothing and funky surroundings, the actors in this flick work well together. Casey Affleck is hysterical and Heather Graham literally lights up the screen. The minor characters - Goran Visnjic {sigh} and Patricia Velazquez are as TALENTED as they are gorgeous. Congratulations Miramax & Director Lisa Krueger!",1
"The film was written 10 years back and a different director was planning it with SRK and Aamir in lead roles<br /><br />The film finally was made now with Vipul Shah directing it And Ajay and Salman starring together after a decade HUM DIL DE CHUKE SANAM(1999)<br /><br />The movie however falls short due to it's 90's handling and worst it's loopholes<br /><br />The film tries to pack in too many commercial ingredients and we also hav the love triangle<br /><br />Everything is predictable and filmy and too clichéd<br /><br />There are loopholes like how Ajay runs away from London Airport and makes a place for himself with no one? even the way he starts his band is not convincing The second half gets better with the twist in the tale of Ajay destroying Salman but sadly the climax falls short and the film ends on a bad note<br /><br />Direction by Vipul Shah is ordinary to below average Music is the worst point, most songs are mediocre<br /><br />Amongst actors Ajay gives his best shot though he isn't convincing as a Rock singer yet he does superb as the negative role Salman however irritates with his punjabi and talking nonsense he only impresses when he gets drugged and thereon Asin is nothing great just a show piece Ranvijay should stick to MTV Om Puri is okay",0
